Node
x,		y,		Force,		Angle,		type
0,		0,		0,			0,			ROLLERX	
1,		0,		0,			0,			FIXED		
2,		0,		200,		210,		FREE		
3,		0,		0,			0,			ROLLERX
4,		0,		0,			0,			FIXED	
0.5,	0.866,	0,			0,			FREE		
1.5,	0.866,	0,			0,			FREE		
2.5,	0.866,	100,		135,		FREE		
3.5,	0.866,	0,			0,			FREE		
1,		1.733,	150,		140,		FREE		
3,		1.733,	150,		90,			FREE		
Element
NodeOne,	NodeTwo,	Area,	Modulus,
1,			2,			2500,	200000
2,			3,			2500,	200000
3,			4,			2500, 	200000
4,			5,			2500, 	200000			
1,			6,			2500,	200000			
2,			6,			2500,	200000			
2,			7,			2500,	200000			
3,			7,			2500, 	70000			
3,			8,			2500, 	200000		
4,			8,			2500,	200000			
4,			9,			2500,	200000			
5,			9,			2500, 	200000			
2,			10,			2500,	70000			
10,			11,			2500,	200000			
4,			11,			2500,	70000	
6,			10,			2500, 	200000
7,			10,			2500,	200000
8,			11,			2500,	200000
9,			11,			2500, 	200000
